hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
37404350601,Washington,CITY,City Council,Duvall City Council - Position 1,2025-11-04,2.3900000000,Won General,null,null
23916849067,California,LOCAL,School Board,Whittier City School Board - Area 1,2024-11-05,2.5200000000,Lost General,4628.0000000000,13317.0000000000
38872808256,Ohio,TOWNSHIP,Town Council,Madison County: Fairfield Township Trustee,2025-11-04,3.0700000000,Won General,null,null
40788698914,Georgia,CITY,County Supervisor,"Douglasville City Council - Ward 2, Post 1",2026-12-01,2.2600000000,Lost General,555.0000000000,1449.0000000000
33053095757,Oregon,LOCAL,Other,Siletz Rural Fire Protection District Board - Position 4,2025-05-20,5.0000000000,Won General,null,null
35159331691,Pennsylvania,CITY,Mayor,Swoyersville Borough Mayor,2025-11-04,0.3200000000,Not on Ballot,null,null
20449108051,Texas,LOCAL,School Board,Boerne Independent School Board - Place 2,2024-05-04,2.5800000000,Won General,2120.0000000000,3118.0000000000
21707254177,Alabama,CITY,City Council,City of Irondale City Council,2024-11-05,null,Lost General,null,null
23356129289,Minnesota,CITY,Mayor,Morristown City Mayor,2024-11-05,1.2300000000,Won General,204.0000000000,523.0000000000
34831956325,Idaho,LOCAL,School Board,Kimberly School Board - Zone 3,2025-11-04,2.6400000000,Not on Ballot,null,null
41663302579,Ohio,LOCAL,School Board,Southwest Licking Local School Board,2025-11-04,1.3300000000,Won General,null,null
37315265899,Georgia,CITY,City Council,Union City Council,2025-11-04,3.6600000000,Won General,2954.0000000000,6828.0000000000
33461702720,New York,LOCAL,School Board,Central Valley School Board,2025-05-20,2.0700000000,Won General,169.0000000000,1293.0000000000
37449112390,New Jersey,STATE,null,New Jersey General Assembly - District 13,2025-11-04,0.4800000000,Lost General,null,null
23538033323,Virginia,CITY,Mayor,New Market Town Mayor,2024-11-05,4.9700000000,Won General,796.0000000000,796.0000000000
37663330385,Ohio,CITY,City Council,Worthington City Council,2025-11-04,1.2200000000,Lost General,null,null
39092321642,Ohio,LOCAL,School Board,New Lexington City School Board,2025-11-04,2.8800000000,Won General,null,null
40358517381,Connecticut,City,Town Council,Westport Town Meeting Representative - District 4,2025-11-04,null,Won General,null,null
31379650448,Wisconsin,LOCAL,City Council,Rusk County: Hawkins Town Chair,2025-04-01,5.0000000000,Won General,null,null
35755403656,Washington,null,null,Non-profit,2025-07-31,null,Cannot Determine,null,null
31751493665,Massachusetts,CITY,Mayor,Swampscott Town Select Board,2025-04-29,2.8200000000,Lost General,847.0000000000,4104.0000000000
31026519302,Connecticut,CITY,Town Council,Enfield Town Council - At Large,2025-11-04,0.7800000000,Not on Ballot,null,null
39220143793,Kansas,CITY,City Council,Kechi City Council,2025-11-04,null,Lost General,null,null
21837950628,Tennessee,COUNTY,Clerk/Treasurer,Gibson County Property Assessor,2024-08-01,1.7000000000,Lost General,1181.0000000000,4994.0000000000
42418455451,Ohio,TOWNSHIP,Town Council,Noble County: Jackson Township Trustee,2025-11-04,3.0700000000,Won General,null,null
25025472313,Minnesota,LOCAL,School Board,Hawley School Board,2024-11-05,3.4200000000,Won General,1492.0000000000,7250.0000000000
39224838418,Ohio,LOCAL,School Board,Akron City School Board,2025-11-04,1.3300000000,Lost General,7971.0000000000,66403.0000000000
23192652378,Illinois,COUNTY,County Supervisor,Sangamon County Board - District 25,2024-11-05,0.7500000000,Lost General,270.0000000000,4083.0000000000
25111090294,Michigan,CITY,Mayor,Reading City Mayor,2024-11-05,2.3400000000,Won General,210.0000000000,401.0000000000
36660290122,Georgia,CITY,null,Riverdale City Council - Ward 1,2025-11-04,1.8700000000,Not on Ballot,null,null
23460987534,Oregon,COUNTY,County Supervisor,Benton County Commission - Position 2,2024-11-05,0.8200000000,Lost General,3536.0000000000,44465.0000000000
36625459786,Utah,Local,City Council,Herriman City Council District 4 (2 Year Term),2025-11-04,0.9700000000,Won General,null,null
31404517049,Wisconsin,CITY,Town Council,Paddock Lake Village Board,2025-04-01,2.7400000000,Lost General,463.0000000000,2164.0000000000
