hubspot_id,election_date,state,office_level,office_type,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,proba_win,pred_win,viability_score_model,viability_bucket_model,viability_bucket_num,viability_bucket_orig,viability_bucket_orig_num,bucket_distance
35666959190,2025-11-04,Utah,CITY,City Council,1,1.44,1.44,,1,0.41306237528379774,0,2.065311876418989,Has a Chance,3,Unlikely to Win,2,1
22000426627,2024-11-05,Texas,CITY,City Council,1,4.98,4.98,,0,0.30581360354608084,0,1.5290680177304041,Unlikely to Win,2,Frontrunner,5,3
29871927155,2027-04-06,Missouri,CITY,City Council,1,2.47,2.47,,1,0.6716952040129075,1,3.3584760200645376,Likely to Win,4,Has a Chance,3,1
37656403525,2025-11-04,North Carolina,CITY,Town Council,1,3.96,3.96,,0,0.5383615842057364,1,2.691807921028682,Has a Chance,3,Likely to Win,4,1
23230237706,2024-11-05,Michigan,STATE,State House,1,0.25,0.25,,0,0.04131935051381913,0,0.20659675256909565,No Chance,1,No Chance,1,0
29867974659,2025-03-11,New Hampshire,CITY,Town Council,1,1.35,1.35,,1,0.835469375089658,1,4.17734687544829,Frontrunner,5,Unlikely to Win,2,3
32215087437,2025-05-20,Oregon,LOCAL,School Board,1,4.98,4.98,,0,0.6297594286439135,1,3.148797143219568,Likely to Win,4,Frontrunner,5,1
33379683345,2025-05-20,Oregon,LOCAL,School Board,1,5.0,5.0,,1,0.6510705867934291,1,3.2553529339671456,Likely to Win,4,,0,4
32039525204,2025-05-03,Texas,City,City Council,1,0.7,0.7,,0,0.4859642279781178,1,2.429821139890589,Has a Chance,3,No Chance,1,2
35140878370,2025-11-04,Iowa,CITY,City Council,1,2.4,2.4,,0,0.6297353542113902,1,3.1486767710569508,Likely to Win,4,Has a Chance,3,1
23520530848,2024-11-05,Wyoming,LOCAL,School Board,1,1.76,1.76,,1,0.42778153706577915,0,2.1389076853288955,Has a Chance,3,Unlikely to Win,2,1
23797908577,2024-11-05,Minnesota,CITY,City Council,1,3.25,3.25,,1,0.6262301561358258,1,3.1311507806791288,Likely to Win,4,Likely to Win,4,0
22762112893,2024-11-05,Virginia,CITY,Town Council,1,2.86,2.86,,1,0.6078633032715752,1,3.039316516357876,Likely to Win,4,Has a Chance,3,1
22049536095,2024-11-05,Rhode Island,CITY,Mayor,1,3.44,3.44,,1,0.1837879266236722,0,0.9189396331183609,No Chance,1,Likely to Win,4,3
23316851606,2024-11-05,District Of Columbia,COUNTY,School Board,1,1.24,1.24,,1,0.4766820326488822,1,2.383410163244411,Has a Chance,3,Unlikely to Win,2,1
36984083582,2025-11-04,Ohio,TOWNSHIP,Town Council,1,2.84,2.84,,1,0.6320120712753338,1,3.1600603563766687,Likely to Win,4,Has a Chance,3,1
38349933336,2025-11-04,Ohio,CITY,City Council,1,1.13,1.13,,1,0.5689391887004481,1,2.8446959435022405,Has a Chance,3,Unlikely to Win,2,1
23106551852,2024-11-05,Michigan,COUNTY,Clerk/Treasurer,1,1.21,1.21,,0,0.5297346561979227,1,2.6486732809896134,Has a Chance,3,Unlikely to Win,2,1
32144988509,2025-11-04,Kansas,LOCAL,School Board,1,2.63,2.63,,1,0.5542702895167724,1,2.7713514475838616,Has a Chance,3,Has a Chance,3,0
37409908778,2025-11-04,Virginia,COUNTY,County Supervisor,3,1.59,1.59,2025-11-30T05:00:00.000,1,0.32532607062082985,0,1.6266303531041493,Unlikely to Win,2,Unlikely to Win,2,0
34886333195,2025-11-04,New York,CITY,,1,1.14,1.14,,1,0.13279675950581898,0,0.663983797529095,No Chance,1,Unlikely to Win,2,1
28919635726,2025-04-01,Illinois,LOCAL,School Board,1,0.95,0.95,,0,0.5638382819813962,1,2.819191409906981,Has a Chance,3,No Chance,1,2
38888093807,2025-11-04,Ohio,LOCAL,School Board,1,1.33,1.33,,0,0.6505317886628822,1,3.252658943314411,Likely to Win,4,Unlikely to Win,2,2
42265665552,2025-11-04,Ohio,CITY,Judge,1,,,,0,0.6652762486036558,1,3.326381243018279,Likely to Win,4,,0,4
37673733509,2025-11-04,North Carolina,CITY,Town Council,1,3.96,3.96,,1,0.5387038911734111,1,2.6935194558670554,Has a Chance,3,Likely to Win,4,1
35617272093,2025-11-04,Massachusetts,CITY,City Council,1,1.77,1.77,,1,0.4998128983968778,1,2.499064491984389,Has a Chance,3,Unlikely to Win,2,1
25293270908,2024-11-05,Virginia,Local,City Council,1,1.6,1.6,,0,0.5814169968092286,1,2.9070849840461435,Has a Chance,3,Unlikely to Win,2,1
37678135816,2025-11-04,North Carolina,Local,Other,1,,,,1,0.5902835594253386,1,2.951417797126693,Has a Chance,3,,0,3
35910562148,2025-08-26,Alabama,CITY,City Council,1,1.72,1.72,,1,0.3816886927367951,0,1.9084434636839755,Unlikely to Win,2,Unlikely to Win,2,0
23215042162,2024-11-05,Michigan,LOCAL,School Board,1,1.37,1.37,,1,0.49964139956810033,1,2.4982069978405015,Has a Chance,3,Unlikely to Win,2,1
40266325011,2025-11-04,South Carolina,CITY,Town Council,1,2.21,2.21,,0,0.6211997122335606,1,3.1059985611678034,Likely to Win,4,Has a Chance,3,1
36784478773,2025-11-04,Montana,CITY,Judge,1,2.93,2.93,,1,0.5429932392348776,1,2.7149661961743883,Has a Chance,3,Has a Chance,3,0
