hubspot_id,state,office_level,office_type,n_outreach_rows,Win,most_common_outreach_type,election_month,is_midterm,is_presidential,days_between_outreach_and_election,is_normal_election,election_dow_mon,election_dow_tue,election_dow_wed,election_dow_thu,election_dow_fri,election_dow_sat,election_dow_sun
31623740035,Wisconsin,LOCAL,Town Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
23318728465,Virginia,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
35242131553,New York,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
41628415826,Iowa,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
33237626926,Delaware,LOCAL,School Board,1,1,,5.0,0,0,99999,0,0,1,0,0,0,0,0
41708721203,Iowa,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23236779950,Minnesota,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
32407964704,Texas,LOCAL,School Board,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
19663081628,Illinois,LOCAL,Clerk/Treasurer,1,0,,2.0,0,0,99999,0,0,1,0,0,0,0,0
30039411602,Wisconsin,CITY,Mayor,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
40724073283,New York,CITY,Mayor,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23247960904,Georgia,Local,City Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
37006012553,North Carolina,CITY,Town Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
35128066849,Utah,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
40990652694,Iowa,LOCAL,School Board,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
34337686606,Pennsylvania,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
41388412063,Georgia,CITY,Mayor,1,1,text,11.0,0,0,20,1,0,1,0,0,0,0,0
37654509173,North Carolina,CITY,Mayor,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
30443948164,Missouri,LOCAL,School Board,1,0,,4.0,0,0,99999,0,0,1,0,0,0,0,0
31770916608,Missouri,CITY,City Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
23295891004,California,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
25089915016,Minnesota,COUNTY,County Supervisor,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
22290406146,Minnesota,LOCAL,Utilities Commissioner,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
23231841900,New Jersey,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
38980256907,Ohio,Local,Town Council,1,0,,11.0,0,0,99999,0,1,0,0,0,0,0,0
23544856928,Texas,CITY,Other,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
34501870419,Virginia,COUNTY,Other,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36581669472,Washington,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
35278588557,Washington,Local,Other,1,1,,8.0,0,0,99999,0,0,1,0,0,0,0,0
25075899512,Indiana,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
40273348110,Massachusetts,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23238485766,Minnesota,LOCAL,Clerk/Treasurer,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
42429180181,Massachusetts,LOCAL,School Board,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36392726964,Kansas,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22244499541,North Carolina,CITY,Mayor,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
23771612745,California,LOCAL,Utilities Commissioner,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
38087416079,North Carolina,CITY,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38678857075,Alabama,CITY,City Council,1,1,,8.0,0,0,99999,0,0,1,0,0,0,0,0
30485254793,Illinois,CITY,Mayor,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
31314743361,Wisconsin,LOCAL,Clerk/Treasurer,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
40716698672,Kansas,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
41539390793,New Hampshire,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
37244149354,North Carolina,CITY,Town Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36729471780,Alabama,CITY,City Council,1,1,,8.0,0,0,99999,0,0,1,0,0,0,0,0
29504679452,Illinois,LOCAL,Utilities Commissioner,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
36893810743,Michigan,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39498199681,Georgia,Local,City Council,1,0,,11.0,0,0,99999,0,0,0,1,0,0,0,0
29906039633,Illinois,LOCAL,School Board,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
23623852817,Tennessee,CITY,Town Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
38126670377,Utah,Local,Other,1,1,,11.0,0,0,99999,0,0,0,0,1,0,0,0
