,mean_coef,std_coef,mean_abs_coef,sign_consistency
state_Florida,-0.47065678217834506,0.13426089623579493,0.47065678217834506,1.0
state_South Dakota,-0.4681280999635592,0.24727383354185725,0.4681280999635592,1.0
state_Rhode Island,-0.4589043917943112,0.2865154791220877,0.4589043917943112,1.0
state_Colorado,-0.44086041835328116,0.11840986290329401,0.44086041835328116,1.0
office_type_Judge,0.4197947435888437,0.1443795994839154,0.4197947435888437,1.0
state_Alabama,-0.3583630370106799,0.0579997233434548,0.3583630370106799,1.0
state_Wyoming,-0.30073097180683933,0.28581942350856443,0.3547351145729868,0.6
state_Ohio,0.32425531570113897,0.08549184310711277,0.32425531570113897,1.0
state_Washington,0.3235032425818617,0.20962912841460074,0.3235032425818617,1.0
state_California,-0.3160652419171599,0.11062239674275633,0.3160652419171599,1.0
office_type_City Council,0.31118988696945804,0.027637398673634222,0.31118988696945804,1.0
state_Hawaii,-0.31091213818439484,0.07678719208844108,0.31091213818439484,1.0
state_Massachusetts,0.3087660235197252,0.1786656350245855,0.3087660235197252,1.0
office_level_City,0.2581962790108598,0.28962949099799545,0.2963852923761937,0.6
state_Indiana,-0.26682319632011275,0.22461089797010086,0.28181777034071837,0.6
state_Montana,0.27462428316489035,0.12005641052531127,0.27462428316489035,1.0
state_Deleware,-0.2714577202194784,0.15425020361375788,0.2714577202194784,1.0
state_New York,-0.2651917036351515,0.0838198413914625,0.2651917036351515,1.0
state_Arizona,-0.2518616263211185,0.14996912993175848,0.2518616263211185,1.0
state_Tennessee,-0.12118250140276247,0.31181542980650506,0.24881246253003814,0.6
office_type_Attorney,-0.24076862287253134,0.13519419804517901,0.24076862287253134,1.0
state_Unknown,-0.24035689176063305,0.15522642852025076,0.24035689176063305,1.0
state_Oregon,0.21779335416173978,0.09520077328714827,0.21779335416173978,1.0
office_type_Sheriff,0.19261926483209907,0.19302288204448667,0.21758532013262402,0.6
state_Pennsylvania,0.2063650647531085,0.1417088852115823,0.2063650647531085,1.0
state_Louisiana,0.08780747162535996,0.22787642661343485,0.19845375315724367,0.2
office_type_Alderman,0.12813833559413268,0.23888437002612642,0.19229133142154406,0.2
office_level_TOWNSHIP,0.1855531000074308,0.16062799986356976,0.1855531000074308,1.0
election_month,0.18450898403908267,0.15127513919753877,0.18450898403908267,1.0
state_Nebraska,-0.14161377564619732,0.15868068376850414,0.18066137267541135,0.6
office_level_COUNTY,-0.17908120667959712,0.11404056370263663,0.17908120667959712,1.0
office_level_CITY,0.174819670341282,0.05281419537309791,0.174819670341282,1.0
state_Virginia,0.1704457337123343,0.069978390372112,0.1704457337123343,1.0
state_West Virginia,0.113056819224014,0.16704142434936817,0.16221897876562277,0.6
office_type_President,-0.14256471523766662,0.06202041439704633,0.14256471523766662,1.0
office_type_School Board,0.12666800072442758,0.08402082001719222,0.12666800072442758,1.0
state_Maryland,-0.06813456155329264,0.13437083556521973,0.122426755518755,0.6
state_Oklahoma,-0.11573101488699275,0.09554854866906326,0.12160019891858383,0.6
state_TX,-0.1164361060178843,0.06534256269570428,0.1164361060178843,1.0
state_New Jersey,0.11276736138769387,0.05839349197057291,0.11276736138769387,1.0
state_Michigan,-0.08130596978445734,0.11931769246871646,0.10307318917297739,0.2
state_New Mexico,-0.07252184899260036,0.10191332708881777,0.1014963678301315,0.6
state_Maine,-0.04023469403713151,0.15396481184366725,0.10119766319372296,0.2
state_South Carolina,-0.04866037260023261,0.1215693178231449,0.09989806407147961,0.6
state_Utah,0.026017454013111962,0.1267680987923523,0.09798134153651203,0.2
office_type_County Supervisor,-0.07057193332906136,0.09796167091694995,0.09526033202633594,0.2
state_Illinois,-0.06806069016911154,0.10875946855892052,0.07984284855381978,0.6
state_Idaho,0.06442696471847323,0.04873313360906824,0.07203064522763065,0.6
state_North Carolina,-0.07200276780529088,0.06307841858234503,0.07200276780529088,1.0
state_Georgia,0.05054564217604548,0.0468576671153686,0.06141450769836708,0.6
office_level_Federal,-0.060810779752895436,0.034064547715046696,0.060810779752895436,1.0
election_year,0.0341728748996097,0.07036878273482133,0.059448956669449896,0.2
n_outreach_rows,-0.032673089470835553,0.06870345591796248,0.05464779022869393,0.6
office_type_Mayor,-0.003020499044846049,0.04567050158708338,0.03632962487878411,0.2
is_midterm,0.0008821762922390855,0.026344593430401977,0.022229653554153288,0.2
days_between_outreach_and_election,0.0035749939545165503,0.03182027316445215,0.021751147448389685,0.2
